unix_time,temp_celsius,temp_mv,lum_mv,hum_mv
1664377735,22.80,778,2856,12
1664377736,22.80,778,2856,13
1664377737,23.00,780,2856,12
1664377738,22.70,777,2856,10
1664377739,22.40,774,2856,13
1664377740,22.70,777,2853,10
1664377741,22.90,779,2853,11
1664377742,22.80,778,2852,13
1664377743,22.80,778,2850,13
1664377744,22.70,777,2852,13
1664377745,22.90,779,2857,12
1664377746,22.90,779,2851,13
1664377747,22.80,778,2859,13
1664377748,22.90,779,2862,11
1664377749,22.90,779,2865,246
1664377750,22.80,778,2857,11
1664377751,22.80,778,2856,12
1664377752,22.90,779,2859,11
1664377753,22.80,778,2857,243
1664377754,23.00,780,2857,163
1664377755,22.90,779,2858,13
1664377756,22.70,777,2864,201
1664377757,22.70,777,2862,191
1664377758,22.80,778,2864,74
1664377759,22.90,779,2862,262
1664377760,22.90,779,2862,85
1664377761,23.00,780,2860,258
1664377762,22.80,778,2860,312
1664377763,22.80,778,2859,96
1664377764,22.80,778,2858,35
1664377765,22.80,778,2860,20
1664377766,23.00,780,2861,12
1664377767,23.00,780,2853,10
1664377768,23.00,780,2858,13
1664377769,23.60,786,2872,13
1664377770,24.20,792,2868,13
1664377771,25.10,801,2869,12
1664377772,25.80,808,2867,10
1664377773,26.10,811,2866,12
1664377774,26.50,815,2864,12
1664377775,27.00,820,2863,12
1664377776,27.40,824,2864,12
1664377777,27.40,824,2848,11
1664377778,27.80,828,2852,12
1664377779,27.90,829,2811,13
1664377780,27.80,828,2741,13
1664377781,28.00,830,2508,12
1664377782,27.60,826,1771,13
1664377783,27.80,828,1781,12
1664377784,27.90,829,1768,13
1664377785,27.80,828,2221,11
1664377786,27.90,829,1754,13
1664377787,27.90,829,1752,13
1664377788,27.50,825,1751,12
1664377789,27.90,829,1754,13
1664377790,28.10,831,1761,12
1664377791,28.10,831,1768,11
1664377792,28.10,831,2089,17
1664377793,28.30,833,2268,12
1664377794,28.20,832,2333,14
1664377795,28.50,835,2466,13
1664377796,28.60,836,2488,13
1664377797,28.50,835,2569,12
1664377798,28.40,834,2567,13
1664377799,28.50,835,2609,10
1664377800,28.60,836,2853,12
1664377801,28.60,836,2864,11
1664377802,28.30,833,2864,10
1664377803,27.80,828,2857,11
1664377804,27.30,823,2859,10
1664377805,27.50,825,2860,13
1664377806,26.90,819,2859,2080
1664377807,27.00,820,2858,2041
1664377808,26.50,815,2853,2049
1664377809,26.50,815,2856,2364
1664377810,26.40,814,2859,2355
1664377811,26.20,812,2857,2365
1664377812,26.40,814,2852,2444
1664377813,26.10,811,2855,2451
1664377814,25.90,809,2846,2457
1664377815,25.80,808,2859,2454
1664377816,25.50,805,2856,2426
1664377817,25.60,806,2856,2385
1664377818,25.40,804,2856,2378
1664377819,25.20,802,2856,2370
1664377820,25.10,801,2855,2311
1664377821,25.00,800,2854,2162
1664377822,25.00,800,2855,1833
1664377823,25.00,800,2854,2084
1664377824,24.90,799,2847,12
1664377825,24.80,798,2850,14
1664377826,24.70,797,2857,14
1664377827,24.90,799,2856,12
1664377828,24.70,797,2861,12
1664377829,24.70,797,2850,12
1664377830,24.60,796,2860,14
1664377831,24.50,795,2853,11
1664377832,24.40,794,2859,18
1664377833,24.30,793,2853,12
1664377834,24.30,793,2851,13
1664377835,24.30,793,2853,10
1664377836,24.30,793,2859,10
1664377837,24.10,791,2848,14
1664377838,24.20,792,2855,10
1664377839,24.10,791,2853,10
1664377840,24.20,792,2852,13
1664377841,24.10,791,2853,12
